user_id,age,gender,sessions_per_week,avg_session_duration,progress_score,mood_after,injury,dropout
1,32,Female,3,48.0,35.8,Energized,Knee,0
2,29,Male,4,60.1,50.4,Energized,None,0
3,33,Female,0,13.9,18.4,Neutral,None,0
4,37,Female,6,80.1,76.2,Neutral,None,0
5,28,Female,4,56.1,57.7,Fatigued,None,1
6,28,Male,3,44.5,40.3,Neutral,None,0
7,37,Female,5,53.4,43.2,Energized,None,1
8,33,Female,5,43.9,40.8,Neutral,None,0
9,27,Female,3,36.8,24.1,Fatigued,Shoulder,1
10,32,Female,6,79.1,75.5,Energized,None,0
11,27,Female,0,20.1,3.1,Neutral,None,0
12,27,Male,1,24.9,13.5,Energized,None,1
13,31,Male,4,43.0,41.7,Neutral,None,0
14,20,Male,3,33.0,47.9,Energized,None,0
15,21,Male,3,45.2,44.2,Fatigued,None,0
16,27,Male,2,50.9,27.7,Neutral,None,1
17,24,Male,3,38.9,36.0,Fatigued,Knee,0
18,31,Male,5,41.3,62.2,Neutral,None,0
19,25,Female,4,52.9,52.6,Neutral,Back,0
20,22,Male,7,64.4,51.2,Neutral,None,0
21,37,Female,5,65.0,48.3,Energized,None,0
22,28,Male,2,35.5,17.8,Neutral,None,1
23,30,Female,2,37.4,43.1,Fatigued,Knee,0
24,22,Female,2,38.5,41.8,Neutral,None,0
25,27,Male,5,55.9,46.7,Energized,None,0
26,30,Male,0,26.1,6.6,Neutral,Knee,1
27,24,Male,2,34.5,27.7,Neutral,Shoulder,0
28,31,Male,6,41.5,51.5,Energized,Knee,0
29,26,Female,4,44.3,32.5,Energized,None,0
30,28,Female,2,47.2,31.1,Energized,None,1
31,26,Male,2,48.5,19.7,Fatigued,None,0
32,39,Male,5,50.3,62.9,Fatigued,None,0
33,29,Male,5,68.0,41.4,Neutral,None,1
34,24,Male,2,39.7,12.1,Fatigued,None,1
35,34,Female,3,31.6,35.2,Energized,None,1
36,23,Male,5,38.5,31.9,Energized,None,0
37,31,Female,5,67.2,53.6,Neutral,None,0
38,20,Male,5,51.3,51.3,Fatigued,None,1
39,23,Male,3,32.9,38.2,Energized,None,0
40,30,Female,6,37.4,46.5,Neutral,None,0
41,33,Male,2,36.0,45.8,Fatigued,None,1
42,30,Female,2,44.0,32.0,Fatigued,None,1
43,29,Female,4,43.0,53.4,Energized,Back,0
44,28,Male,3,34.5,35.0,Energized,None,1
45,22,Male,5,49.5,71.1,Fatigued,None,1
46,26,Female,1,47.4,39.3,Energized,None,0
47,27,Female,5,41.1,46.0,Neutral,None,0
48,35,Female,2,33.6,33.1,Neutral,None,0
49,31,Male,4,62.1,48.4,Neutral,None,0
50,21,Female,0,34.9,14.7,Neutral,None,1
51,31,Male,4,51.8,32.9,Neutral,Back,0
52,28,Female,4,43.5,33.7,Energized,Knee,0
53,26,Female,3,45.3,58.3,Neutral,Shoulder,0
54,33,Male,2,34.6,15.3,Neutral,None,0
55,35,Female,3,36.4,26.6,Neutral,None,0
56,34,Male,5,44.2,46.2,Neutral,None,0
57,25,Female,2,47.8,33.3,Fatigued,None,1
58,28,Male,2,39.4,33.5,Fatigued,None,0
59,31,Female,2,43.1,26.9,Energized,None,0
60,34,Male,6,61.5,65.2,Neutral,None,0
61,27,Female,3,49.4,51.1,Neutral,None,1
62,29,Female,0,27.5,26.4,Fatigued,Back,0
63,24,Male,5,50.2,47.4,Fatigued,None,0
64,24,Male,4,41.8,47.0,Fatigued,None,0
65,34,Female,1,20.9,4.0,Neutral,None,1
66,36,Male,7,53.8,54.7,Fatigued,None,0
67,29,Female,4,46.3,31.4,Energized,None,0
68,35,Male,3,29.0,29.0,Fatigued,Back,0
69,31,Female,3,31.2,22.0,Fatigued,None,0
70,26,Male,5,65.4,42.5,Neutral,None,0
71,31,Male,2,42.2,27.2,Fatigued,None,1
